Case,Year,Hydro,SolarPV,Wind,Geothermal,Biomass,FossilThermal,Imports,Other
REN100_Extreme,2041,57424.17458,5321.079176,6880.702207,985.9837099,118.1109218,7673.113721,1859.289812,0
REN100_Extreme,2042,60270.15398,5335.082637,6795.492559,974.0367681,119.7800025,7232.913863,1920.805125,0
REN100_Extreme,2043,60938.52805,5360.850712,6807.572652,3426.944246,120.5985969,6514.648621,1868.473425,0
REN100_Extreme,2044,64114.49199,5355.421409,6819.997452,3348.055541,119.9170947,5743.239286,1935.531013,0
REN100_Extreme,2045,67982.39049,5252.300506,6889.121197,3400.364979,120.2760021,4291.661252,1914.729945,0
REN100_Extreme,2046,68427.40722,5414.754651,6829.050444,5530.494749,119.4731559,4047.078107,1881.399472,0
REN100_Extreme,2047,76318.41427,5382.312447,6799.249096,5505.516317,34.53732768,611.4310139,0,0
REN100_Extreme,2048,77017.07414,5351.554178,6665.318243,5493.578968,104.7749806,1993.191807,428.7007222,0
REN100_Extreme,2049,78656.51159,5377.331055,6831.850802,5488.211444,153.1678482,1093.122183,1855.131963,0
REN100_Extreme,2050,80258.95437,5276.092318,6671.946013,5460.229798,341.6347865,0,1844.8638,0
