Case,Year,ModelFromNode,ModelToNode,FromNode,ToNode,ExistingCap_MW,NewCircuits,PeakAbsFlow_MW,Utilization,Capex_MUSD
BAU_Extreme,2043,ZNX,ZNO,ZNO,ZNX,341.8,0,485.7853378,1.421256108,0
BAU_Extreme,2043,ZNX,ZSX,ZNO,ZSO,664,0,544.3435229,0.8197944623,0
BAU_Extreme,2043,ZNO,ZSX,ZNX,ZSO,1732.05,0,1242.996094,0.7176444639,0
BAU_Extreme,2043,ZNO,ZSO,ZNX,ZSX,673.65,0,159.9647775,0.2374597752,0
BAU_Extreme,2043,ZNO,COL,ZNX,COL,460,0,415.697419,0.9036900414,0
BAU_Extreme,2043,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2043,ZSX,PER,ZSO,PER,50,0,47.96468671,0.9592937341,0
BAU_Extreme,2044,ZNX,ZNO,ZNO,ZNX,341.8,0,512.7,1.5,0
BAU_Extreme,2044,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2044,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2044,ZNO,ZSO,ZNX,ZSX,673.65,0,368.8068136,0.5474754154,0
BAU_Extreme,2044,ZNO,COL,ZNX,COL,460,0,428.3164532,0.9311227244,0
BAU_Extreme,2044,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2044,ZSX,PER,ZSO,PER,50,0,46.33046382,0.9266092763,0
BAU_Extreme,2045,ZNX,ZNO,ZNO,ZNX,341.8,0,512.7,1.5,0
BAU_Extreme,2045,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2045,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2045,ZNO,ZSO,ZNX,ZSX,673.65,0,354.8014618,0.5266851656,0
BAU_Extreme,2045,ZNO,COL,ZNX,COL,460,0,428.9835193,0.932572868,0
BAU_Extreme,2045,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2045,ZSX,PER,ZSO,PER,50,0,47.83804383,0.9567608766,0
BAU_Extreme,2046,ZNX,ZNO,ZNO,ZNX,341.8,0,1025.4,3,0
BAU_Extreme,2046,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2046,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2046,ZNO,ZSO,ZNX,ZSX,673.65,0,336.4525507,0.4994471174,0
BAU_Extreme,2046,ZNO,COL,ZNX,COL,460,0,418.9916712,0.9108514592,0
BAU_Extreme,2046,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2331.25493,0.9899171679,0
BAU_Extreme,2046,ZSX,PER,ZSO,PER,50,0,48.27305654,0.9654611308,0
BAU_Extreme,2047,ZNX,ZNO,ZNO,ZNX,341.8,0,1025.4,3,0
BAU_Extreme,2047,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2047,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2047,ZNO,ZSO,ZNX,ZSX,673.65,0,321.152829,0.4767354397,0
BAU_Extreme,2047,ZNO,COL,ZNX,COL,460,0,403.0689563,0.8762368614,0
BAU_Extreme,2047,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2047,ZSX,PER,ZSO,PER,50,0,44.89439705,0.897887941,0
BAU_Extreme,2048,ZNX,ZNO,ZNO,ZNX,341.8,0,1025.4,3,0
BAU_Extreme,2048,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2048,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2048,ZNO,ZSO,ZNX,ZSX,673.65,0,307.7999448,0.4569137458,0
BAU_Extreme,2048,ZNO,COL,ZNX,COL,460,0,444.7546262,0.9668578831,0
BAU_Extreme,2048,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2048,ZSX,PER,ZSO,PER,50,0,48.3708806,0.967417612,0
BAU_Extreme,2049,ZNX,ZNO,ZNO,ZNX,341.8,0,1025.4,3,0
BAU_Extreme,2049,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2049,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2049,ZNO,ZSO,ZNX,ZSX,673.65,0,290.9679962,0.4319275532,0
BAU_Extreme,2049,ZNO,COL,ZNX,COL,460,0,431.2676966,0.9375384708,0
BAU_Extreme,2049,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2049,ZSX,PER,ZSO,PER,50,0,43.79684808,0.8759369616,0
BAU_Extreme,2050,ZNX,ZNO,ZNO,ZNX,341.8,0,1025.4,3,0
BAU_Extreme,2050,ZNX,ZSX,ZNO,ZSO,664,0,664,1,0
BAU_Extreme,2050,ZNO,ZSX,ZNX,ZSO,1732.05,0,1610.573418,0.9298654299,0
BAU_Extreme,2050,ZNO,ZSO,ZNX,ZSX,673.65,0,272.3397677,0.4042748722,0
BAU_Extreme,2050,ZNO,COL,ZNX,COL,460,0,407.4831628,0.8858329626,0
BAU_Extreme,2050,ZSX,ZSO,ZSO,ZSX,1308.333333,4,2355,1,0
BAU_Extreme,2050,ZSX,PER,ZSO,PER,50,0,47.8409184,0.956818368,0
REN100_Normal,2025,ZNX,ZNO,ZNO,ZNX,341.8,0,235.3652334,0.68860513,0
REN100_Normal,2025,ZNX,ZSX,ZNO,ZSO,664,0,242.6013542,0.3653634852,0
REN100_Normal,2025,ZNO,ZSX,ZNX,ZSO,1732.05,0,623.6120193,0.3600427351,0
REN100_Normal,2025,ZNO,ZSO,ZNX,ZSX,673.65,0,92.92312381,0.1379397667,0
REN100_Normal,2025,ZNO,COL,ZNX,COL,460,0,445.4017028,0.9682645712,0
REN100_Normal,2025,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
REN100_Normal,2025,ZSX,PER,ZSO,PER,50,0,44.75094432,0.8950188865,0
REN100_Normal,2026,ZNX,ZNO,ZNO,ZNX,341.8,0,246.0127609,0.7197564684,0
REN100_Normal,2026,ZNX,ZSX,ZNO,ZSO,664,0,283.4838296,0.4269334783,0
REN100_Normal,2026,ZNO,ZSX,ZNX,ZSO,1732.05,0,662.196352,0.3823194203,0
REN100_Normal,2026,ZNO,ZSO,ZNX,ZSX,673.65,0,110.5815952,0.1641528913,0
REN100_Normal,2026,ZNO,COL,ZNX,COL,460,0,417.7272525,0.9081027229,0
REN100_Normal,2026,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
REN100_Normal,2026,ZSX,PER,ZSO,PER,50,0,47.23916166,0.9447832331,0
REN100_Normal,2027,ZNX,ZNO,ZNO,ZNX,341.8,0,233.7010212,0.6837361651,0
REN100_Normal,2027,ZNX,ZSX,ZNO,ZSO,664,0,262.1271236,0.3947697645,0
REN100_Normal,2027,ZNO,ZSX,ZNX,ZSO,1732.05,0,671.5071426,0.3876950103,0
REN100_Normal,2027,ZNO,ZSO,ZNX,ZSX,673.65,0,92.43499104,0.1372151578,0
REN100_Normal,2027,ZNO,COL,ZNX,COL,460,0,418.7975934,0.9104295508,0
REN100_Normal,2027,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
REN100_Normal,2027,ZSX,PER,ZSO,PER,50,0,46.83173485,0.936634697,0
REN100_Normal,2028,ZNX,ZNO,ZNO,ZNX,341.8,0,328.6422697,0.9615045924,0
REN100_Normal,2028,ZNX,ZSX,ZNO,ZSO,664,0,267.4598206,0.4028009346,0
REN100_Normal,2028,ZNO,ZSX,ZNX,ZSO,1732.05,0,776.2265904,0.4481548399,0
REN100_Normal,2028,ZNO,ZSO,ZNX,ZSX,673.65,0,54.55989173,0.08099145214,0
REN100_Normal,2028,ZNO,COL,ZNX,COL,460,0,397.5215822,0.8641773526,0
REN100_Normal,2028,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1308.333333,1,0
REN100_Normal,2028,ZSX,PER,ZSO,PER,50,0,46.69629115,0.933925823,0
REN100_Normal,2029,ZNX,ZNO,ZNO,ZNX,341.8,0,341.8,1,0
REN100_Normal,2029,ZNX,ZSX,ZNO,ZSO,664,0,122.3435011,0.1842522607,0
REN100_Normal,2029,ZNO,ZSX,ZNX,ZSO,1732.05,0,780.3807377,0.4505532391,0
REN100_Normal,2029,ZNO,ZSO,ZNX,ZSX,673.65,0,72.12776136,0.1070700829,0
REN100_Normal,2029,ZNO,COL,ZNX,COL,460,0,417.9049622,0.9084890482,0
REN100_Normal,2029,ZSX,ZSO,ZSO,ZSX,1308.333333,0,1710.863495,1.307666366,0
REN100_Normal,2029,ZSX,PER,ZSO,PER,50,0,44.68445181,0.8936890361,0
REN100_Normal,2030,ZNX,ZNO,ZNO,ZNX,341.8,0,341.8,1,0
REN100_Normal,2030,ZNX,ZSX,ZNO,ZSO,664,0,158.1359727,0.2381565854,0
