Case,Year,FuelCategory,Generation_GWh,Unit
BAU_Normal,2045,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2045,BIOENERGY,24.667200000,GWh
BAU_Normal,2045,DIESEL,243.468000000,GWh
BAU_Normal,2045,FUEL OIL,2681.272800000,GWh
BAU_Normal,2045,GAS,2944.994400000,GWh
BAU_Normal,2045,IMPORTS,1914.739200000,GWh
BAU_Normal,2045,OTHER,0.000000000,GWh
BAU_Normal,2046,HYDRO,72782.100000000,GWh
BAU_Normal,2046,PV,5414.731200000,GWh
BAU_Normal,2046,WIND,6829.077600000,GWh
BAU_Normal,2046,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2046,BIOENERGY,24.775200000,GWh
BAU_Normal,2046,DIESEL,71.020800000,GWh
BAU_Normal,2046,FUEL OIL,2462.976000000,GWh
BAU_Normal,2046,GAS,2783.592000000,GWh
BAU_Normal,2046,IMPORTS,1881.388800000,GWh
BAU_Normal,2046,OTHER,0.000000000,GWh
BAU_Normal,2047,HYDRO,74323.224000000,GWh
BAU_Normal,2047,PV,5382.280800000,GWh
BAU_Normal,2047,WIND,6799.255200000,GWh
BAU_Normal,2047,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2047,BIOENERGY,24.876000000,GWh
BAU_Normal,2047,DIESEL,261.655200000,GWh
BAU_Normal,2047,FUEL OIL,3115.072800000,GWh
BAU_Normal,2047,GAS,2920.759200000,GWh
BAU_Normal,2047,IMPORTS,1824.228000000,GWh
BAU_Normal,2047,OTHER,0.000000000,GWh
BAU_Normal,2048,HYDRO,74968.624800000,GWh
BAU_Normal,2048,PV,5351.587200000,GWh
BAU_Normal,2048,WIND,6665.313600000,GWh
BAU_Normal,2048,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2048,BIOENERGY,25.329600000,GWh
BAU_Normal,2048,DIESEL,173.664000000,GWh
BAU_Normal,2048,FUEL OIL,4990.968000000,GWh
BAU_Normal,2048,GAS,2969.798400000,GWh
BAU_Normal,2048,IMPORTS,1908.928800000,GWh
BAU_Normal,2048,OTHER,0.000000000,GWh
BAU_Normal,2049,HYDRO,76356.648000000,GWh
BAU_Normal,2049,PV,5377.348800000,GWh
BAU_Normal,2049,WIND,6831.849600000,GWh
BAU_Normal,2049,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2049,BIOENERGY,35.172000000,GWh
BAU_Normal,2049,DIESEL,110.901600000,GWh
BAU_Normal,2049,FUEL OIL,5746.075200000,GWh
BAU_Normal,2049,GAS,3116.808000000,GWh
BAU_Normal,2049,IMPORTS,1880.560800000,GWh
BAU_Normal,2049,OTHER,0.000000000,GWh
BAU_Normal,2050,HYDRO,77184.295200000,GWh
BAU_Normal,2050,PV,5276.059200000,GWh
BAU_Normal,2050,WIND,6671.944800000,GWh
BAU_Normal,2050,GEOTHERMAL,0.000000000,GWh
BAU_Normal,2050,BIOENERGY,26.359200000,GWh
BAU_Normal,2050,DIESEL,316.663200000,GWh
BAU_Normal,2050,FUEL OIL,6819.818400000,GWh
BAU_Normal,2050,GAS,3563.215200000,GWh
BAU_Normal,2050,IMPORTS,1905.861600000,GWh
BAU_Normal,2050,OTHER,0.000000000,GWh
BAU_Extreme,2025,HYDRO,30521.491200000,GWh
BAU_Extreme,2025,PV,521.539200000,GWh
BAU_Extreme,2025,WIND,620.056800000,GWh
BAU_Extreme,2025,GEOTHERMAL,0.000000000,GWh
BAU_Extreme,2025,BIOENERGY,966.031200000,GWh
