Case,Year,FuelCategory,NewCapacity_MW,Unit
BAU_Extreme,2043,BIOENERGY,0.000000000,MW
BAU_Extreme,2043,DIESEL,0.000000000,MW
BAU_Extreme,2043,FUEL OIL,0.000000000,MW
BAU_Extreme,2043,GAS,0.000000000,MW
BAU_Extreme,2043,IMPORTS,0.000000000,MW
BAU_Extreme,2043,OTHER,0.000000000,MW
BAU_Extreme,2044,HYDRO,1172.000000000,MW
BAU_Extreme,2044,PV,0.000000000,MW
BAU_Extreme,2044,WIND,0.000000000,MW
BAU_Extreme,2044,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2044,BIOENERGY,0.000000000,MW
BAU_Extreme,2044,DIESEL,0.000000000,MW
BAU_Extreme,2044,FUEL OIL,0.000000000,MW
BAU_Extreme,2044,GAS,0.000000000,MW
BAU_Extreme,2044,IMPORTS,0.000000000,MW
BAU_Extreme,2044,OTHER,0.000000000,MW
BAU_Extreme,2045,HYDRO,126.000000000,MW
BAU_Extreme,2045,PV,0.000000000,MW
BAU_Extreme,2045,WIND,0.000000000,MW
BAU_Extreme,2045,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2045,BIOENERGY,0.000000000,MW
BAU_Extreme,2045,DIESEL,0.000000000,MW
BAU_Extreme,2045,FUEL OIL,0.000000000,MW
BAU_Extreme,2045,GAS,0.000000000,MW
BAU_Extreme,2045,IMPORTS,0.000000000,MW
BAU_Extreme,2045,OTHER,0.000000000,MW
BAU_Extreme,2046,HYDRO,841.900000000,MW
BAU_Extreme,2046,PV,0.000000000,MW
BAU_Extreme,2046,WIND,0.000000000,MW
BAU_Extreme,2046,GEOTHERMAL,0.000000000,MW
BAU_Extreme,2046,BIOENERGY,0.000000000,MW
BAU_Extreme,2046,DIESEL,0.000000000,MW
BAU_Extreme,2046,FUEL OIL,0.000000000,MW
BAU_Extreme,2046,GAS,0.000000000,MW
BAU_Extreme,2046,IMPORTS,0.000000000,MW
BAU_Extreme,2046,OTHER,0.000000000,MW
BAU_Extreme,2047,HYDRO,346.280000000,MW
BAU_Extreme,2047,PV,0.000000000,MW
BAU_Extreme,2047,WIND,0.000000000,MW
BAU_Extreme,2047,GEOTHERMAL,83.000000000,MW
BAU_Extreme,2047,BIOENERGY,0.000000000,MW
BAU_Extreme,2047,DIESEL,0.000000000,MW
BAU_Extreme,2047,FUEL OIL,0.000000000,MW
BAU_Extreme,2047,GAS,0.000000000,MW
BAU_Extreme,2047,IMPORTS,0.000000000,MW
BAU_Extreme,2047,OTHER,0.000000000,MW
