Case,Year,Month,Reservoir,Volume_Hm3,Turbine_Hm3,Spill_Hm3,Generation_GWh
BAU_Normal,2027,m7,E003_Mazar,305.3089203,273.9723799,0,95.89033297
BAU_Normal,2027,m7,E004_Paute_Molino,120,214.9723799,0,334.1029071
BAU_Normal,2027,m7,E005_Pucara,25,49.2405668,250.7594332,48.25575547
BAU_Normal,2027,m7,N039_Paute_Cardenillo,3.0825,0,7,0
BAU_Normal,2027,m8,E003_Mazar,338.051734,229.2571863,0,80.2400152
BAU_Normal,2027,m8,E004_Paute_Molino,120,230.2571863,0,357.8580437
BAU_Normal,2027,m8,E005_Pucara,25,47.61739722,252.3826028,46.66504927
BAU_Normal,2027,m8,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2027,m9,E003_Mazar,294.1282573,203.5034052,102.4200715,71.22619182
BAU_Normal,2027,m9,E004_Paute_Molino,120,306.9234767,0,477.0102367
BAU_Normal,2027,m9,E005_Pucara,25,27.37346889,272.6265311,26.82599951
BAU_Normal,2027,m9,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2027,m10,E003_Mazar,323.086247,221.8202616,11.22174865,77.63709157
BAU_Normal,2027,m10,E004_Paute_Molino,60,294.0420103,0,456.990291
BAU_Normal,2027,m10,E005_Pucara,25,30.31462596,269.685374,29.70833344
BAU_Normal,2027,m10,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2027,m11,E003_Mazar,205,191.2326345,188.8536125,66.93142206
BAU_Normal,2027,m11,E004_Paute_Molino,119.9529428,321.1333042,0,499.094677
BAU_Normal,2027,m11,E005_Pucara,25,33.33768346,266.6623165,32.67092979
BAU_Normal,2027,m11,N039_Paute_Cardenillo,3.0825,0,1,0
BAU_Normal,2027,m12,E003_Mazar,205,213.6832382,48.31676175,74.78913339
BAU_Normal,2027,m12,E004_Paute_Molino,60,322.9529428,0,501.9226985
BAU_Normal,2027,m12,E005_Pucara,25,32.6033601,267.3966399,31.9512929
BAU_Normal,2027,m12,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2028,m1,E003_Mazar,205,209.540458,52.45954196,73.33916031
BAU_Normal,2028,m1,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2028,m1,E005_Pucara,25,31.35972775,268.6402723,30.73253319
BAU_Normal,2028,m1,N039_Paute_Cardenillo,4.0825,0,0,0
BAU_Normal,2028,m2,E003_Mazar,205,204.9432404,57.05675959,71.73013414
BAU_Normal,2028,m2,E004_Paute_Molino,60,263,0,408.7458333
BAU_Normal,2028,m2,E005_Pucara,25,34.40286573,265.5971343,33.71480841
BAU_Normal,2028,m2,N039_Paute_Cardenillo,5.0825,0,0,0
BAU_Normal,2028,m3,E003_Mazar,205,0,262,0
BAU_Normal,2028,m3,E004_Paute_Molino,62.39343571,260.6065643,0,405.0260353
BAU_Normal,2028,m3,E005_Pucara,25,49.34616377,250.6538362,48.3592405
BAU_Normal,2028,m3,N039_Paute_Cardenillo,6.0825,0,0,0
