Hydrology,Scenario,w,Year,Tech,Capacity_MW
Baseline,REF,w23,2047,NUCLEAR,0
Baseline,REF,w23,2047,PV,750
Baseline,REF,w23,2047,WIND,1205
Baseline,REF,w23,2048,BIOENERGY,0
Baseline,REF,w23,2048,DIESEL,0
Baseline,REF,w23,2048,FUEL OIL,0
Baseline,REF,w23,2048,GAS,1900
Baseline,REF,w23,2048,GEOTHERMAL,200
Baseline,REF,w23,2048,HYDRO,11102
Baseline,REF,w23,2048,NUCLEAR,0
Baseline,REF,w23,2048,PV,750
Baseline,REF,w23,2048,WIND,1205
Baseline,REF,w23,2049,BIOENERGY,0
Baseline,REF,w23,2049,DIESEL,0
Baseline,REF,w23,2049,FUEL OIL,0
Baseline,REF,w23,2049,GAS,1900
Baseline,REF,w23,2049,GEOTHERMAL,200
Baseline,REF,w23,2049,HYDRO,11102
Baseline,REF,w23,2049,NUCLEAR,0
Baseline,REF,w23,2049,PV,750
Baseline,REF,w23,2049,WIND,1205
Baseline,REF,w23,2050,BIOENERGY,0
Baseline,REF,w23,2050,DIESEL,0
Baseline,REF,w23,2050,FUEL OIL,0
Baseline,REF,w23,2050,GAS,1900
Baseline,REF,w23,2050,GEOTHERMAL,200
Baseline,REF,w23,2050,HYDRO,11102
Baseline,REF,w23,2050,NUCLEAR,0
Baseline,REF,w23,2050,PV,750
Baseline,REF,w23,2050,WIND,1205
Baseline,BRIDGE,w17,2025,BIOENERGY,150
Baseline,BRIDGE,w17,2025,DIESEL,850
Baseline,BRIDGE,w17,2025,FUEL OIL,1420
Baseline,BRIDGE,w17,2025,GAS,475.36
Baseline,BRIDGE,w17,2025,GEOTHERMAL,0
Baseline,BRIDGE,w17,2025,HYDRO,5258
Baseline,BRIDGE,w17,2025,NUCLEAR,0
Baseline,BRIDGE,w17,2025,PV,980
Baseline,BRIDGE,w17,2025,WIND,375
Baseline,BRIDGE,w17,2026,BIOENERGY,150
Baseline,BRIDGE,w17,2026,DIESEL,850
Baseline,BRIDGE,w17,2026,FUEL OIL,1420
Baseline,BRIDGE,w17,2026,GAS,475.36
Baseline,BRIDGE,w17,2026,GEOTHERMAL,0
Baseline,BRIDGE,w17,2026,HYDRO,5757
Baseline,BRIDGE,w17,2026,NUCLEAR,0
Baseline,BRIDGE,w17,2026,PV,980
Baseline,BRIDGE,w17,2026,WIND,375
Baseline,BRIDGE,w17,2027,BIOENERGY,150
Baseline,BRIDGE,w17,2027,DIESEL,850
Baseline,BRIDGE,w17,2027,FUEL OIL,1420
Baseline,BRIDGE,w17,2027,GAS,475.36
Baseline,BRIDGE,w17,2027,GEOTHERMAL,0
Baseline,BRIDGE,w17,2027,HYDRO,6157
Baseline,BRIDGE,w17,2027,NUCLEAR,0
Baseline,BRIDGE,w17,2027,PV,1230
Baseline,BRIDGE,w17,2027,WIND,375
Baseline,BRIDGE,w17,2028,BIOENERGY,150
Baseline,BRIDGE,w17,2028,DIESEL,850
Baseline,BRIDGE,w17,2028,FUEL OIL,1420
Baseline,BRIDGE,w17,2028,GAS,475.36
Baseline,BRIDGE,w17,2028,GEOTHERMAL,0
Baseline,BRIDGE,w17,2028,HYDRO,6307
Baseline,BRIDGE,w17,2028,NUCLEAR,0
Baseline,BRIDGE,w17,2028,PV,1480
Baseline,BRIDGE,w17,2028,WIND,500
Baseline,BRIDGE,w17,2029,BIOENERGY,150
Baseline,BRIDGE,w17,2029,DIESEL,850
Baseline,BRIDGE,w17,2029,FUEL OIL,820
Baseline,BRIDGE,w17,2029,GAS,475.36
Baseline,BRIDGE,w17,2029,GEOTHERMAL,0
Baseline,BRIDGE,w17,2029,HYDRO,6307
Baseline,BRIDGE,w17,2029,NUCLEAR,0
Baseline,BRIDGE,w17,2029,PV,1480
Baseline,BRIDGE,w17,2029,WIND,625
Baseline,BRIDGE,w17,2030,BIOENERGY,150
Baseline,BRIDGE,w17,2030,DIESEL,850
Baseline,BRIDGE,w17,2030,FUEL OIL,720
Baseline,BRIDGE,w17,2030,GAS,475.36
Baseline,BRIDGE,w17,2030,GEOTHERMAL,0
Baseline,BRIDGE,w17,2030,HYDRO,8102
Baseline,BRIDGE,w17,2030,NUCLEAR,0
Baseline,BRIDGE,w17,2030,PV,1730
Baseline,BRIDGE,w17,2030,WIND,750
Baseline,BRIDGE,w17,2031,BIOENERGY,150
Baseline,BRIDGE,w17,2031,DIESEL,850
Baseline,BRIDGE,w17,2031,FUEL OIL,720
Baseline,BRIDGE,w17,2031,GAS,475.36
Baseline,BRIDGE,w17,2031,GEOTHERMAL,0
Baseline,BRIDGE,w17,2031,HYDRO,8102
Baseline,BRIDGE,w17,2031,NUCLEAR,0
Baseline,BRIDGE,w17,2031,PV,1730
Baseline,BRIDGE,w17,2031,WIND,1080
Baseline,BRIDGE,w17,2032,BIOENERGY,150
Baseline,BRIDGE,w17,2032,DIESEL,850
Baseline,BRIDGE,w17,2032,FUEL OIL,720
Baseline,BRIDGE,w17,2032,GAS,475.36
Baseline,BRIDGE,w17,2032,GEOTHERMAL,0
Baseline,BRIDGE,w17,2032,HYDRO,8102
Baseline,BRIDGE,w17,2032,NUCLEAR,0
Baseline,BRIDGE,w17,2032,PV,2480
Baseline,BRIDGE,w17,2032,WIND,1205
Baseline,BRIDGE,w17,2033,BIOENERGY,150
