Hydrology,Scenario,w,PNS_GWh,CO2_kt
Baseline,REF,w38,2.580436274,61711.3972
Baseline,REF,w39,10.52469073,49388.79049
Baseline,REF,w4,13.69408536,47948.01366
Baseline,REF,w40,31.24713678,50730.96207
Baseline,REF,w41,39.38071831,56252.3978
Baseline,REF,w42,1.410528552,55258.65187
Baseline,REF,w43,5.172232518,60850.31206
Baseline,REF,w44,47.24917079,55495.33763
Baseline,REF,w45,18.39875826,45983.80039
Baseline,REF,w46,175.8501259,56155.77258
Baseline,REF,w47,65.5237108,60358.9263
Baseline,REF,w48,0.7161941645,53343.0958
Baseline,REF,w49,70.99347615,60759.82828
Baseline,REF,w5,88.47276531,56558.5952
Baseline,REF,w50,54.55369568,56776.66448
Baseline,REF,w51,124.4534854,63687.38871
Baseline,REF,w52,40.45939006,57738.5294
Baseline,REF,w53,3.367825528,54441.56224
Baseline,REF,w54,0.7161941645,54251.18619
Baseline,REF,w55,57.0038919,53013.97207
Baseline,REF,w56,3.814569859,47002.99212
Baseline,REF,w57,4.047408376,63572.57576
Baseline,REF,w58,0.7161941645,51118.28865
Baseline,REF,w59,2.810292231,52982.32076
Baseline,REF,w6,18.76673343,39234.70309
Baseline,REF,w60,4.22872577,51335.6525
Baseline,REF,w61,110.0048704,59812.00955
Baseline,REF,w62,6.10606914,56586.16833
Baseline,REF,w63,28.58821992,51475.17934
Baseline,REF,w64,2.896862273,54553.6307
Baseline,REF,w65,91.06380429,50023.1681
Baseline,REF,w66,76.15574514,50739.79297
Baseline,REF,w67,3.777120592,56666.98266
Baseline,REF,w68,19.27828929,54491.85
Baseline,REF,w69,62.27247245,60120.68064
Baseline,REF,w7,29.49089778,57355.52818
Baseline,REF,w70,1.550236701,55455.26438
Baseline,REF,w71,37.14861524,61147.26417
Baseline,REF,w72,37.81969155,62290.631
Baseline,REF,w73,52.49459794,53940.42122
Baseline,REF,w74,24.53063996,58611.78308
Baseline,REF,w75,36.09041391,56104.17491
Baseline,REF,w76,4.128507036,34411.93934
Baseline,REF,w77,25.7323282,48392.03007
Baseline,REF,w78,14.55049351,49154.19636
Baseline,REF,w79,27.2457127,71800.2799
Baseline,REF,w8,37.23945273,43919.3354
Baseline,REF,w80,22.37112524,55030.23869
Baseline,REF,w81,6.914450344,51828.94948
Baseline,REF,w82,43.23084449,54015.76392
Baseline,REF,w83,0.7161941645,56943.74784
Baseline,REF,w84,1.776854357,57178.65534
Baseline,REF,w85,2.470862127,57730.62463
Baseline,REF,w86,110.0846185,55452.37205
Baseline,REF,w87,80.05711364,53026.56057
Baseline,REF,w88,24.98745687,42799.70775
Baseline,REF,w89,4.132502537,56008.16745
Baseline,REF,w9,36.4047686,46536.9282
Baseline,REF,w90,55.71864883,63072.3447
Baseline,REF,w91,36.38448243,53371.12323
Baseline,REF,w92,48.89148757,55918.90644
Baseline,REF,w93,53.32160548,58018.04002
Baseline,REF,w94,16.79286466,45822.24292
Baseline,REF,w95,22.32780379,67566.68927
Baseline,REF,w96,13.15819249,52882.22377
Baseline,REF,w97,7.520775368,50443.3429
Baseline,REF,w98,42.58991405,52217.02156
Baseline,REF,w99,6.318887435,58863.07425
Adverse,BRIDGE,w1,0,112634.2353
Adverse,BRIDGE,w2,0,122851.2866
Adverse,BRIDGE,w3,35.56438643,134055.4336
Adverse,BRIDGE,w4,0,112637.1867
Adverse,BRIDGE,w5,11.40577784,130017.4094
Adverse,NZT,w1,237.7565902,62198.06659
Adverse,NZT,w2,270.3075333,62520.62745
Adverse,NZT,w3,252.556496,61824.03418
Adverse,NZT,w4,370.8313091,63456.44753
Adverse,NZT,w5,296.0105311,62816.06639
Adverse,REF,w1,0,145477.857
Adverse,REF,w2,367.6550257,185148.1248
Adverse,REF,w3,61.60719158,183527.3227
Adverse,REF,w4,30.30759311,173566.7798
Adverse,REF,w5,20.27051765,179509.8643
