Hydrology,Scenario,Representative_w,Year,Month,Tech,GWh,Date
Baseline,REF,w23,2025,12,GEOTHERMAL,0,2025-12-01
Baseline,REF,w23,2025,12,HYDRO,2268.030038,2025-12-01
Baseline,REF,w23,2025,12,IMPORTS,0,2025-12-01
Baseline,REF,w23,2025,12,NUCLEAR,0,2025-12-01
Baseline,REF,w23,2025,12,PV,10.50507791,2025-12-01
Baseline,REF,w23,2025,12,WIND,51.94898977,2025-12-01
Baseline,REF,w23,2026,1,BIOENERGY,94.00641914,2026-01-01
Baseline,REF,w23,2026,1,DIESEL,94.47963434,2026-01-01
Baseline,REF,w23,2026,1,FUEL OIL,773.9460003,2026-01-01
Baseline,REF,w23,2026,1,GAS,0,2026-01-01
Baseline,REF,w23,2026,1,GEOTHERMAL,123.4149625,2026-01-01
Baseline,REF,w23,2026,1,HYDRO,2440.203806,2026-01-01
Baseline,REF,w23,2026,1,IMPORTS,0,2026-01-01
Baseline,REF,w23,2026,1,NUCLEAR,0,2026-01-01
Baseline,REF,w23,2026,1,PV,11.22855935,2026-01-01
Baseline,REF,w23,2026,1,WIND,49.25934935,2026-01-01
Baseline,REF,w23,2026,2,BIOENERGY,89.78256212,2026-02-01
Baseline,REF,w23,2026,2,DIESEL,112.8492655,2026-02-01
Baseline,REF,w23,2026,2,FUEL OIL,687.3470291,2026-02-01
Baseline,REF,w23,2026,2,GAS,0,2026-02-01
Baseline,REF,w23,2026,2,GEOTHERMAL,127.1382695,2026-02-01
Baseline,REF,w23,2026,2,HYDRO,2491.386795,2026-02-01
Baseline,REF,w23,2026,2,IMPORTS,0,2026-02-01
Baseline,REF,w23,2026,2,NUCLEAR,0,2026-02-01
Baseline,REF,w23,2026,2,PV,9.597476415,2026-02-01
Baseline,REF,w23,2026,2,WIND,50.50780549,2026-02-01
Baseline,REF,w23,2026,3,BIOENERGY,92.82470258,2026-03-01
Baseline,REF,w23,2026,3,DIESEL,0,2026-03-01
Baseline,REF,w23,2026,3,FUEL OIL,121.211061,2026-03-01
Baseline,REF,w23,2026,3,GAS,0,2026-03-01
Baseline,REF,w23,2026,3,GEOTHERMAL,117.2171285,2026-03-01
Baseline,REF,w23,2026,3,HYDRO,3248.120341,2026-03-01
Baseline,REF,w23,2026,3,IMPORTS,0,2026-03-01
Baseline,REF,w23,2026,3,NUCLEAR,0,2026-03-01
Baseline,REF,w23,2026,3,PV,9.097278914,2026-03-01
Baseline,REF,w23,2026,3,WIND,42.34139009,2026-03-01
Baseline,REF,w23,2026,4,BIOENERGY,96.6879793,2026-04-01
Baseline,REF,w23,2026,4,DIESEL,0,2026-04-01
Baseline,REF,w23,2026,4,FUEL OIL,100.7148654,2026-04-01
Baseline,REF,w23,2026,4,GAS,0,2026-04-01
Baseline,REF,w23,2026,4,GEOTHERMAL,126.4643039,2026-04-01
Baseline,REF,w23,2026,4,HYDRO,3278.354567,2026-04-01
Baseline,REF,w23,2026,4,IMPORTS,0,2026-04-01
Baseline,REF,w23,2026,4,NUCLEAR,0,2026-04-01
Baseline,REF,w23,2026,4,PV,7.979155814,2026-04-01
Baseline,REF,w23,2026,4,WIND,39.07085934,2026-04-01
Baseline,REF,w23,2026,5,BIOENERGY,94.29929332,2026-05-01
Baseline,REF,w23,2026,5,DIESEL,0,2026-05-01
Baseline,REF,w23,2026,5,FUEL OIL,95.85160656,2026-05-01
Baseline,REF,w23,2026,5,GAS,0,2026-05-01
Baseline,REF,w23,2026,5,GEOTHERMAL,119.0793248,2026-05-01
Baseline,REF,w23,2026,5,HYDRO,3270.12828,2026-05-01
Baseline,REF,w23,2026,5,IMPORTS,0,2026-05-01
Baseline,REF,w23,2026,5,NUCLEAR,0,2026-05-01
Baseline,REF,w23,2026,5,PV,8.918990506,2026-05-01
Baseline,REF,w23,2026,5,WIND,42.93152609,2026-05-01
Baseline,REF,w23,2026,6,BIOENERGY,93.61887701,2026-06-01
Baseline,REF,w23,2026,6,DIESEL,0,2026-06-01
Baseline,REF,w23,2026,6,FUEL OIL,98.37542148,2026-06-01
Baseline,REF,w23,2026,6,GAS,0,2026-06-01
Baseline,REF,w23,2026,6,GEOTHERMAL,129.7294153,2026-06-01
Baseline,REF,w23,2026,6,HYDRO,3180.394471,2026-06-01
