Hydrology,Scenario,Representative_w,Date,Year,Month,MW,ENS_GWh,CO2_kt
Baseline,REF,w23,2035-10-01,2035,10,331.3481041,0,73.72718942
Baseline,REF,w23,2035-11-01,2035,11,338.0533201,0,155.8503448
Baseline,REF,w23,2035-12-01,2035,12,346.1354235,0,228.6994739
Baseline,REF,w23,2036-01-01,2036,1,337.8347327,0,46.32382019
Baseline,REF,w23,2036-02-01,2036,2,336.1458571,0,115.2065792
Baseline,REF,w23,2036-03-01,2036,3,342.0050528,0,0
Baseline,REF,w23,2036-04-01,2036,4,343.7438801,0,24.03216831
Baseline,REF,w23,2036-05-01,2036,5,342.0424595,0.01597979894,0
Baseline,REF,w23,2036-06-01,2036,6,334.5161991,0,24.76399856
Baseline,REF,w23,2036-07-01,2036,7,330.0814098,0,0
Baseline,REF,w23,2036-08-01,2036,8,329.1780309,0,6.082028435
Baseline,REF,w23,2036-09-01,2036,9,336.8711899,0,189.5248665
Baseline,REF,w23,2036-10-01,2036,10,337.9750661,0,6.374316894
Baseline,REF,w23,2036-11-01,2036,11,344.8143865,0,252.9975417
Baseline,REF,w23,2036-12-01,2036,12,353.058132,0,311.3713066
Baseline,REF,w23,2037-01-01,2037,1,344.5914273,0,80.0615903
Baseline,REF,w23,2037-02-01,2037,2,342.8687743,0,34.13846576
Baseline,REF,w23,2037-03-01,2037,3,348.8451538,0,24.30544517
Baseline,REF,w23,2037-04-01,2037,4,350.6187577,0,24.94854432
Baseline,REF,w23,2037-05-01,2037,5,348.8833087,0,25.19255888
Baseline,REF,w23,2037-06-01,2037,6,341.2065231,0,24.18248431
Baseline,REF,w23,2037-07-01,2037,7,336.683038,0,0
Baseline,REF,w23,2037-08-01,2037,8,335.7615915,0,5.582275967
Baseline,REF,w23,2037-09-01,2037,9,343.6086137,0,6.566386347
Baseline,REF,w23,2037-10-01,2037,10,344.7345675,0,212.0155478
Baseline,REF,w23,2037-11-01,2037,11,351.7106743,0,87.23978453
Baseline,REF,w23,2037-12-01,2037,12,360.1192946,0,179.4174551
